concept_id_1,concept_name_1,concept_id_2,concept_code_2,concept_name_2
8690,"Unspecified enthesopathy, lower limb, excluding foot",4116324,302937000,Enthesopathy of lower leg and ankle region
9724,"Lead-induced chronic gout, unspecified elbow",607432,1153420008,Chronic gout caused by lead
9724,"Lead-induced chronic gout, unspecified elbow",4027383,128133004,Disorder of elbow
9770,"Chronic gout due to renal impairment, right elbow",46270464,308791000119101,Gout of elbow due to renal impairment
10443,"Ocular laceration without prolapse or loss of intraocular tissue, unspecified eye",372479,231795004,Laceration of eye
725283,"Sedative, hypnotic or anxiolytic abuse with withdrawal",4193868,312098001,"Sedative, hypnotic AND/OR anxiolytic-related disorder"
725283,"Sedative, hypnotic or anxiolytic abuse with withdrawal",37165425,1254795002,Substance withdrawal
786340,"Husband, current, perpetrator of maltreatment and neglect",4113020,284607007,Finding relating to aggressive behavior
786349,"Non-binary partner, current, perpetrator of maltreatment and neglect",4113020,284607007,Finding relating to aggressive behavior
1102633,Hypoglycemia level 2,24609,302866003,Hypoglycemia
1102634,Hypoglycemia level 3,24609,302866003,Hypoglycemia
1102643,Disorders of citrate metabolism,4021042,116021002,Disorder of organic acid metabolism
1102646,Obesity due to disruption of MC4R pathway,37397209,717269008,Obesity due to melanocortin 4 receptor deficiency
1102660,"Bulimia nervosa, mild",438407,78004001,Bulimia nervosa
1102671,Pica in adults,437839,14077003,Pica
1102673,KCNQ2-related epilepsy,36680579,778001003,KCNQ2-related epileptic encephalopathy
1102682,Fat embolism of pulmonary artery with acute cor pulmonale,312927,49584005,Acute cor pulmonale
1102682,Fat embolism of pulmonary artery with acute cor pulmonale,4119608,233938002,Pulmonary fat embolism
1102684,Fat embolism of pulmonary artery without acute cor pulmonale,4119608,233938002,Pulmonary fat embolism
1102702,"Anal fistula, complex",4127647,261827001,High anal fistula
1102702,"Anal fistula, complex",37203984,786878009,Anal fistula
1102708,"Rectal fistula, simple",4213865,80736008,Rectal fistula
1102721,"Anorectal fistula, simple, recurrent",193807,72779005,Anorectal fistula
1102721,"Anorectal fistula, simple, recurrent",440059,58184002,Recurrent disease
1102746,"Unspecified synovitis and tenosynovitis, shoulder",4118007,287017006,Synovitis/tenosynovitis - shoulder
1102778,Other congenital malformations of aortic and mitral valves,4322316,70320004,Congenital anomaly of heart valve
1102880,"Sezary disease, in remission",4041799,118611004,Sezary's disease
1102880,"Sezary disease, in remission",4142582,427141003,Malignant lymphoma in remission
1102902,"Angioimmunoblastic T-cell lymphoma, in remission",4144302,426071002,Hodgkin's disease in remission
1102908,"Heavy chain disease, in remission",603291,143291000119104,Non-Hodgkin's lymphoma in remission
1102908,"Heavy chain disease, in remission",4288751,68979007,Heavy chain disease
1326522,"Degenerative myopia with retinal detachment, left eye",378414,42059000,Retinal detachment
1326522,"Degenerative myopia with retinal detachment, left eye",381281,32022003,Degenerative progressive high myopia
1403401,Tuberculous hydronephrosis (machine translation),73686,4445009,Tuberculosis of genitourinary system
1403401,Tuberculous hydronephrosis (machine translation),433811,43064006,Hydronephrosis
1403691,Diphtheria laryngotracheitis (machine translation),438680,50215002,Laryngeal diphtheria
1405016,Plasmodium malariae malaria with other complications,438353,27618009,Quartan malaria
1405305,Mixed pediculosis and phthiriasis,4148108,266166005,Pediculosis and phthirus infections
1407758,Sacral meningioma (machine translation),135767,92406008,Benign neoplasm of spinal meninges
1411320,Intraspinal abscess and granuloma,4181187,363176004,Inflammatory disorder of head
1413053,Eye tumor (machine translation),4160345,371486001,Neoplasm of eye proper
1420635,Rotator cuff syndrome,4212887,414033006,Disorder of rotator cuff
1423175,Pregnant women with pelvic inflammatory disease (machine translation),199067,198130006,Female pelvic inflammatory disease
1423175,Pregnant women with pelvic inflammatory disease (machine translation),4060296,199112006,Infections of the genital tract in pregnancy
1424182,Pregnant women with hyperlipidemia (machine translation),432867,55822004,Hyperlipidemia
1424182,Pregnant women with hyperlipidemia (machine translation),4062791,199296002,"Endocrine, nutritional and metabolic disease complicating pregnancy, childbirth and puerperium"
1424365,Fetus and newborn affected by oligohydramnios,37167136,1263727005,Fetal disorder due to oligohydramnios
1427259,Cardiac murmurs and other cardiac sounds,4114164,301126002,Finding of heart sounds
1434052,Blood alcohol level of less than 20 mg/100 ml,40484946,442766007,High alcohol level in blood
1434357,Carrier of other specified bacterial diseases,4280828,66598005,Carrier of infectious organism
1567339,Mosquito-borne viral encephalitis,372547,34476008,Viral encephalitis
1567609,Malignant carcinoid tumors,1244536,1288045008,Well-differentiated neuroendocrine tumor
1567612,Malignant carcinoid tumors of other sites,1244536,1288045008,Well-differentiated neuroendocrine tumor
1567879,Postprocedural hemorrhage of the spleen following a procedure,442019,116224001,Complication of procedure
1567879,Postprocedural hemorrhage of the spleen following a procedure,4209571,56517003,Splenic hemorrhage
1568098,Alcohol abuse with alcohol-induced psychotic disorder,433753,15167005,Harmful pattern of use of alcohol
1568098,Alcohol abuse with alcohol-induced psychotic disorder,37164773,1231846001,Psychosis caused by ethanol
1569434,Other intraoperative cardiac functional disturbances,4180636,362999008,Cardiac complication of procedure
1569886,"Staphylococcal arthritis, elbow",4009329,111820003,Staphylococcal arthritis
1569886,"Staphylococcal arthritis, elbow",40483813,445495007,Infective arthritis of elbow
1569905,"Other streptococcal arthritis, hip",4009329,111820003,Staphylococcal arthritis
1569905,"Other streptococcal arthritis, hip",4197765,431606003,Bacterial arthritis of hip
1569915,"Arthritis due to other bacteria, ankle and foot",40481620,444999002,Infective arthritis of ankle and/or foot
1570780,"Other calcification of muscle, lower leg",72986,128137003,Disorder of lower leg
1570780,"Other calcification of muscle, lower leg",40490403,446993003,Calcification of muscle
1570785,"Other ossification of muscle, forearm",136779,128132009,Disorder of forearm
1570785,"Other ossification of muscle, forearm",4196401,44551007,Muscular ossification
1570979,"Unspecified soft tissue disorder related to use, overuse and pressure lower leg",4093228,280136002,Disorder of soft tissue of lower limb
1571440,"Chondromalacia, hip",438531,63198006,Chondromalacia
1571440,"Chondromalacia, hip",4181454,428861009,Articular cartilage disorder of hip
1572249,Dysphasia and aphasia,4024716,106169008,"Aphasia, agnosia, dyslexia AND/OR apraxia"
1572665,Injury of intercostal blood vessels,317713,60190000,Injury of blood vessels of thorax
1572787,Multiple fractures of pelvis with disruption of pelvic ring,4136722,263222005,Multiple pelvic fractures
1572809,Injury of branches of celiac and mesenteric artery,37167847,1269057003,Injury of blood vessel of abdomen
1573900,Injury of peroneal nerve at lower leg level,4106172,25604001,Traumatic injury of common peroneal nerve
1574545,Corrosion of cornea and conjunctival sac,4335872,231794000,Injury of globe of eye
1575178,Infection due to central venous catheter,42537043,736152001,CLABSI - central line associated bloodstream infection
1575278,Infection and inflammatory reaction due to internal joint prosthesis,4308690,213121005,Prosthetic joint infection
1575861,Military operations involving other firearms discharge,439446,219205002,Assault by military firearm
1575911,Obstetric and gynecological devices associated with adverse incidents,43021248,473035006,Complication associated with genitourinary device
1576184,Contact with and (suspected) exposure to hazards in the physical environment,37016166,133261000119105,Exposure to potentially hazardous substance
1576270,Insect allergy status,3661864,871927008,Allergic reaction caused by insect bite and/or insect sting
35205669,Urban rabies,377793,14168008,Rabies
35205805,Tinea barbae and tinea capitis,135473,47382004,Dermatophytosis
35208562,Drug photoallergic response,4009034,111209006,Photoallergic dermatitis
35208562,Drug photoallergic response,4286349,69047008,Drug-induced photosensitivity
35209386,Subacute and chronic vulvitis,4269221,63144007,Vulvitis
35210412,Newborn affected by other maternal complications of pregnancy,37167889,1269103007,Early neonatal disorder due to maternal disorder during pregnancy
35210614,"Transitory disorder of carbohydrate metabolism of newborn, unspecified",437515,20957000,Disorder of carbohydrate metabolism
35210614,"Transitory disorder of carbohydrate metabolism of newborn, unspecified",441406,414025005,Disorder of fetus and/or newborn
35211161,Ectodermal dysplasia (anhidrotic),134757,8654005,Ectodermal dysplasia
37082094,Diabetes mellitus in connection with deficient nutrition or malnutritionwith multiple complications: Not described as derailed,37160913,1172389004,Disorder due to malnutrition related diabetes mellitus
37082661,"Mental and behavioural disorders due to use of cannabinoids, withdrawal state with delirium",4220197,39807006,Cannabis intoxication delirium
37082661,"Mental and behavioural disorders due to use of cannabinoids, withdrawal state with delirium",45766641,703848005,Cannabis withdrawal
37083523,Nerve root and plexus compressions in other dorsopathies,4260918,410730009,Disorder of spinal region
37083523,Nerve root and plexus compressions in other dorsopathies,43531045,609611008,Lesion of nerve root and/or plexus
37087035,"Rheumatoid bursitis, other",80809,69896004,Rheumatoid arthritis
37087035,"Rheumatoid bursitis, other",134453,84017003,Bursitis
37087421,"Familial chondrocalcinosis, forearm",136779,128132009,Disorder of forearm
37087421,"Familial chondrocalcinosis, forearm",4035750,239840000,Familial chondrocalcinosis
