source_data_identifier,source_code,original_source_term,source_term,target_concept_id,target_concept_name,target_concept_id_b,target_concept_name_b,predicate,predicate_b
1,230000700,ΑΤΟΜΙΚΗ ΨΥΧΟΘΕΡΑΠΕΙΑ,INDIVIDUAL PSYCHOTHERAPY,4088889,Individual psychotherapy,,,exactMatch,
1,40000123,"ΑΞ.ΤΟΜ. (>64 ΤΟΜΕΣ) ΣΠΛΑΧΝΙΚΟ ΚΡΑΝΙΟ (ΟΣΤΑ,ΜΟΡΙΑ ΠΡ,ΥΠΟΦΑΡ,ΛΑΡ)",CT SCAN (>64 SLICES) OF THE VISCEROCRANIUM,4061008,CT of face,,,broadMatch,
1,50100200,ΚΟΛΟΝΟΣΚΟΠΗΣΗ ΠΛΗΡΗΣ,COLONOSCOPY FULL,4124527,Total colonoscopy,,,exactMatch,
1,150000117,Αναζήτηση χλαμυδίων με τη μέθοδο άμεσου ανοσοφθορισμού,Search for chlamydia by the direct immunofluorescence method,4149631,Chlamydia antigen test,,,broadMatch,
1,170001300,ΕΙΣΠΝΟΕΣ AEROSOL (ΑΕΡΟΣΟΛ),AEROSOL INHALATION,45765790,Aerosol therapy,,,exactMatch,
1,110610290,Σπινθηρογράφημα Ολοσωματικό με I-131,Whole body scintigraphy with I-131,35622380,Radionuclide imaging of whole body using iodine (131-I),,,exactMatch,
1,40000860,ΑΚΤΙΝΟΓΡΑΦΙΑ ΠΟΔΟΚΝΗΜΙΚΗΣ ΑΡΘΡΩΣΗΣ,X-RAY OF ANKLE JOINT,1075056,Plain X-ray of ankle joint,,,exactMatch,
1,40000820,ΑΚΤΙΝΟΓΡΑΦΙΑ ΑΜΦΟΤΕΡΩΝ ΝΕΦΡΩΝ & ΟΥΡΗΤΗΡΩΝ,X-RAY OF BOTH KIDNEYS & URETERS,1447533,"Plain X-ray of kidney, ureter and urinary bladder",,,exactMatch,
1,40000805, ΑΚΤΙΝΟΓΡΑΦΙΑ ΘΩΡΑΚΟΣ ο.π. (ΠΝΕΥΜΟΝΩΝ),POSTEROANTERIOR (PA) CHEST X-RAY (LUNGS),36713260,"Plain X-ray of chest, posteroanterior",,,exactMatch,
1,90100300,ΣΤΕΦΑΝΙΟΓΡΑΦΙΑ ΧΩΡΙΣ ΤΟ ΚΟΣΤΟΣ ΥΛΙΚΩΝ,CORONAGRAPHY WITHOUT THE COST OF MATERIALS,4142645,Angiography of coronary artery,,,exactMatch,
1,Π07Χ,Σκωληκοειδεκτομή χωρίς κακοήθεια ή περιτονίτιδα χωρίς καταστροφικές συνέπειες,Appendectomy without malignancy or peritonitis without complications,4198190,Appendectomy,,,exactMatch,
1,190000600,ΑΚΟΗΜΕΤΡΙΚΟ ΔΙΑΓΡΑΜΜΑ,AUDIOGRAM,4139936,Audiogram,,,exactMatch,
1,170001000,ΒΡΟΓΧΟΕΓΧΥΣΗ,BRONCHOINFUSION,4336913,Bronchoscopic lavage,,,exactMatch,
1,170000800,ΒΡΟΓΧΟΣΚΟΠΗΣΗ,BRONCHOSCOPY,4032404,Bronchoscopy,,,exactMatch,
1,40009880,ΚΑΡΔΙΟΤΟΚΟΓΡΑΦΗΜΑ,NON-STRESS TEST (NST),4306192,Cardiotochogram,,,exactMatch,
2,83302,RADIOL.OND. WERVELKOLOM - LUMBOSACR.INCL.OVERZ. SI-GEWR.,Radiol. exam spine - lumbosacral incl. overview SI-joint,4118954,X-ray of lumbosacral spine,,,broadMatch,
2,333180,ECC-PERFUSIE PER OK SESSIE- UITGEVOERD OF STANDBY,ECC-perfusion per OR session- performed or standby,4175798,Extracorporeal perfusion,,,broadMatch,
2,333722,LYMF.SYST.  - GEMOD.HALSKLIERTOILET - GEEN SUPRAHYOIDAAL,Lymph system - modified neck dissection - no suprahyoidal,4012004,Modified radical neck dissection,,,exactMatch,
2,333980,MAMMA       - BIOPSIE,Breast - biopsy,4047494,Biopsy of breast,,,exactMatch,
2,334397,OESOPHAGUS  - DILATATIE,Esophagus - dilation,4112340,Dilation of esophagus,,,exactMatch,
2,334503,MAAG        - GASTROSTOMIE --PEG-SONDE-- DMV SCOPIE,Stomach - gastrostomy --PEG-tube-- by scope,4122234,Percutaneous endoscopic gastrostomy,,,exactMatch,
2,334914,DIKKE DARM  - APPENDECTOMIE VIA LAPAROSCOPIE,Large intestine - appendectomy via laparoscopy,4243973,Laparoscopic appendectomy,,,exactMatch,
