concept_id_1,concept_name_1,concept_id_2,concept_code_2,concept_name_2,attribute_category
22274,Neoplasm of uncertain behavior of larynx,4262229,4596009,Laryngeal structure,Has finding site
22274,Neoplasm of uncertain behavior of larynx,4313421,86251006,Neoplasm of uncertain behavior,Has asso morph
22288,Hereditary elliptocytosis,4030871,14089001,Red blood cell count,Has interprets
22288,Hereditary elliptocytosis,4083207,281300000,Below reference range,Has interpretation
22288,Hereditary elliptocytosis,4116830,255399007,Congenital,Has occurrence
22288,Hereditary elliptocytosis,4181412,52101004,Present,Has interpretation
22288,Hereditary elliptocytosis,4204670,308490002,Pathological developmental process,Has pathology
22288,Hereditary elliptocytosis,4218976,41898006,Erythrocyte,Has finding site
22288,Hereditary elliptocytosis,4224294,404227002,Hemolysis,Has interprets
22288,Hereditary elliptocytosis,4259404,45028007,Elliptocyte,Has asso morph
22288,Hereditary elliptocytosis,40480067,441689006,Measurement of total hemoglobin concentration,Has interprets
22350,Edema of larynx,4196943,79654002,Edema,Has asso morph
22350,Edema of larynx,4262229,4596009,Laryngeal structure,Has finding site
22492,Foreign body in pharynx,4078373,19227008,Foreign body,Has asso morph
22492,Foreign body in pharynx,4207370,54066008,Pharyngeal structure,Has finding site
22557,Malignant tumor of submandibular gland,4299196,385296007,Submandibular salivary gland structure,Has finding site
22557,Malignant tumor of submandibular gland,37153816,1240414004,Malignant neoplasm,Has asso morph
22665,Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction,4046957,122865005,Gastrointestinal tract structure,Has finding site
22665,Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction,4208270,55075001,Bleeding ulcer,Has asso morph
22665,Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction,4236661,90734009,Chronic,Has clinical course
22665,Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction,4239211,91182001,Perforated ulcer,Has asso morph
22665,Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction,4243483,37904008,Chronic bleeding ulcer,Has asso morph
22665,Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction,4271189,62834003,Upper gastrointestinal tract structure,Has finding site
22666,Vomiting after gastrointestinal tract surgery,4025208,106079008,Digestive system function,Has interprets
22666,Vomiting after gastrointestinal tract surgery,4046957,122865005,Gastrointestinal tract structure,Has finding site
22666,Vomiting after gastrointestinal tract surgery,4299602,386621005,Operation on gastrointestinal tract,Occurs after
22722,Accessory salivary gland,4116830,255399007,Congenital,Has occurrence
22722,Accessory salivary gland,4204670,308490002,Pathological developmental process,Has pathology
22722,Accessory salivary gland,4238909,91431006,Supernumerary structure,Has asso morph
22722,Accessory salivary gland,4294042,385294005,Salivary gland structure,Has finding site
22820,Tuberculosis of esophagus,4035081,113858008,Mycobacterium tuberculosis complex,Has causative agent
22820,Tuberculosis of esophagus,4140098,32849002,Esophageal structure,Has finding site
22820,Tuberculosis of esophagus,4269928,6266001,Granulomatous inflammation,Has asso morph
22820,Tuberculosis of esophagus,40480911,441862004,Infectious process,Has pathology
22871,Neoplasm of uncertain behavior of pineal gland,4164136,45793000,Pineal structure,Has finding site
22871,Neoplasm of uncertain behavior of pineal gland,4313421,86251006,Neoplasm of uncertain behavior,Has asso morph
22955,Perforation of esophagus,4140098,32849002,Esophageal structure,Has finding site
22955,Perforation of esophagus,4263947,36191001,Perforation,Has asso morph
23034,Neonatal hypoglycemia,4034504,113331007,Structure of endocrine system,Has finding site
23034,Neonatal hypoglycemia,4083207,281300000,Below reference range,Has interpretation
23034,Neonatal hypoglycemia,4114528,255407002,Neonatal,Has occurrence
23034,Neonatal hypoglycemia,4202143,434912009,Blood glucose concentration,Has interprets
23137,Chlamydial pharyngitis,4037323,16241000,Chlamydia,Has causative agent
23137,Chlamydial pharyngitis,4207370,54066008,Pharyngeal structure,Has finding site
23137,Chlamydial pharyngitis,4253008,409774005,Inflammatory morphology,Has asso morph
23137,Chlamydial pharyngitis,40480911,441862004,Infectious process,Has pathology
23164,Disorder of anterior pituitary,4270353,62818001,Adenohypophysis structure,Has finding site
23220,Chronic tonsillitis,4236661,90734009,Chronic,Has clinical course
23220,Chronic tonsillitis,4253009,409777003,Chronic inflammatory morphology,Has asso morph
23220,Chronic tonsillitis,4327174,75573002,Palatine tonsillar structure,Has finding site
23237,Acute peptic ulcer with hemorrhage AND obstruction,4093906,26036001,Obstruction,Has asso morph
23237,Acute peptic ulcer with hemorrhage AND obstruction,4164431,45771005,Acute bleeding ulcer,Has asso morph
23237,Acute peptic ulcer with hemorrhage AND obstruction,4271189,62834003,Upper gastrointestinal tract structure,Has finding site
23237,Acute peptic ulcer with hemorrhage AND obstruction,4312510,424124008,Sudden onset AND/OR short duration,Has clinical course
23245,Esophageal bleeding,4140098,32849002,Esophageal structure,Has finding site
23245,Esophageal bleeding,4179955,50960005,Hemorrhage,Has asso morph
23247,Chronic peptic ulcer with perforation but without obstruction,4233476,405719001,Chronic ulcer,Has asso morph
23247,Chronic peptic ulcer with perforation but without obstruction,4236661,90734009,Chronic,Has clinical course
23247,Chronic peptic ulcer with perforation but without obstruction,4239211,91182001,Perforated ulcer,Has asso morph
23247,Chronic peptic ulcer with perforation but without obstruction,4271189,62834003,Upper gastrointestinal tract structure,Has finding site
23304,Neck webbing,4116830,255399007,Congenital,Has occurrence
23304,Neck webbing,4182739,43081002,Skin structure of neck,Has finding site
23304,Neck webbing,4204670,308490002,Pathological developmental process,Has pathology
23304,Neck webbing,4295289,76640006,Congenital webbing,Has asso morph
23567,Branchial cleft cyst,4116830,255399007,Congenital,Has occurrence
23567,Branchial cleft cyst,4204670,308490002,Pathological developmental process,Has pathology
23567,Branchial cleft cyst,4300167,774007,Structure of head and/or neck,Has finding site
23567,Branchial cleft cyst,37206155,785762005,Branchial cyst,Has asso morph
