concept_id_1,concept_name_1,concept_id_2,concept_code_2,concept_name_2
73884,Closed fracture of three ribs,78273,12204004,Closed fracture of multiple ribs
28385,Disorder of posterior pituitary,23986,399244003,Disorder of pituitary gland
72984,Reactive arthritis of joint of shoulder region due to and following dysentery,4079729,239785008,Reactive arthritis due to and following dysentery
26908,Vincent's angina,4207185,312118003,Bacterial upper respiratory infection
23245,Esophageal bleeding,4291649,37372002,Upper gastrointestinal bleeding
73361,Abrasion and/or friction burn of elbow with infection,43530817,609338009,"Abrasion and/or friction burn of upper limb, infected"
24134,Neck pain,4184252,298378000,Finding of neck region
22426,Congenital macrostomia,42709918,449790007,Orofacial cleft
31610,Disorder of esophagus,4000609,119291004,Disorder of upper gastrointestinal tract
72989,"Arthropathy associated with mycoses, of the ankle and/or foot",75896,111214005,Arthropathy associated with a mycosis
31602,Disorder of the larynx,254068,201060008,Disorder of upper respiratory system
72434,Congenital hydrocele,4127734,236779000,Congenital abnormality of scrotum
25056,Congenital anomaly of neck,4042837,118939000,Disorder of neck
72468,Open dislocation of jaw,4216978,81629009,Traumatic dislocation of temporomandibular joint
73318,Polydactyly of fingers,74740,367506006,Polydactyly
73349,Injury of rectum without open wound into abdominal cavity,4103995,300312006,Lesion of rectum
73366,Crushing injury of lower leg,444131,125602001,Injury of lower leg
73075,Contusion of upper limb,441737,125667009,Contusion
26459,Acute esophagitis,30753,16761005,Esophagitis
25486,Primary malignant neoplasm of islets of Langerhans,133420,371983001,Primary malignant neoplasm of endocrine gland
22426,Congenital macrostomia,43530620,1071000119107,Oral lesion
25297,Acute pharyngitis,4132552,127321000,Acute digestive system disorder
29056,Sialoadenitis,4181063,363169009,Inflammation of specific body organs
22426,Congenital macrostomia,439394,398302004,Congenital anomaly of face
28974,Candidiasis of the esophagus,31610,37657006,Disorder of esophagus
24970,Chronic laryngitis,444208,128294001,Chronic inflammatory disorder
74120,Arthropathy of the shoulder region associated with helminthiasis,76193,111215006,Arthropathy associated with helminthiasis
25582,Tracheoesophageal fistula,4121300,233778002,Tracheal fistula
24076,Chronic peptic ulcer with hemorrhage AND obstruction,4273101,64398008,Peptic ulcer with hemorrhage AND obstruction
72857,Late effect of rickets,75909,76069003,Disorder of bone
73122,Tuberculosis of knee,4159739,371081002,Arthritis of knee
73291,Palindromic rheumatism of ankle and/or foot,40482662,442246002,Disorder of joint of ankle and/or foot
30133,Acute laryngitis,4173027,276443001,Acute laryngitis and/or tracheitis
30274,Full thickness burn of neck,26286,60713008,Burn of neck
73560,Calcaneal spur,40481843,442098006,Mass of foot
73849,Acquired lordosis deformity of spine,73012,61960001,Lordosis deformity of spine
73575,Deformity of toe,4227252,406119002,Toe finding
22274,Neoplasm of uncertain behavior of larynx,4316607,94962000,Neoplasm of uncertain behavior of neck
26711,Chronic pharyngitis,4226263,405737000,Pharyngitis
72468,Open dislocation of jaw,4051121,210345001,Open wound of jaw
27674,Nausea and vomiting,31967,422587007,Nausea
30356,Benign neoplasm of pharynx,4242982,92461001,Benign neoplasm of upper respiratory tract
74120,Arthropathy of the shoulder region associated with helminthiasis,1075361,1303835007,Arthritis of shoulder region joint
23304,Neck webbing,4316083,95324001,Skin lesion
73021,Bilateral congenital dislocation of hip,36687058,15729721000119100,Arthropathy of bilateral hip joints
31609,Abscess of salivary gland,4114483,300257000,Lesion of salivary gland
72401,Kashin-Bek disease,4343920,239883006,Endemic osteoarthritis
73365,Epidermal burn of elbow,76570,18084001,Burn of elbow
73372,Burn of breast,4265765,62112002,Injury of breast
30439,Acute peptic ulcer with perforation but without obstruction,4054392,12625009,Peptic ulcer with perforation but without obstruction
26908,Vincent's angina,4193318,312422001,Infective pharyngitis
72712,Synovial cyst,40481517,444905003,Mass of soft tissue
24909,Hereditary spherocytosis,4009785,111575000,Anemia due to membrane defect
23237,Acute peptic ulcer with hemorrhage AND obstruction,4273101,64398008,Peptic ulcer with hemorrhage AND obstruction
73854,Progressive myositis ossificans,4182033,298278003,Deposition in skeletal muscle
26052,Primary malignant neoplasm of larynx,252840,94118008,Primary malignant neoplasm of upper respiratory tract
28714,Syndrome of diencephalo-hypophyseal origin,28385,72442006,Disorder of posterior pituitary
72487,Crushing injury of foot,444130,125604000,Injury of foot
22274,Neoplasm of uncertain behavior of larynx,4055265,126692004,Neoplasm of larynx
72459,Closed fracture of two ribs,4136498,31693001,Fracture of two ribs
72737,Microcalcifications of the breast,4205375,309587003,Calcification of breast
24609,Hypoglycemia,31821,362969004,Disorder of endocrine system
24006,Sickle cell-hemoglobin C disease,4049095,23269001,Double heterozygous sickling disorder
73378,Frostbite of foot,444130,125604000,Injury of foot
72486,Blister of elbow without infection,4344259,239964003,Soft tissue lesion of elbow region
72403,Hemarthrosis of the ankle and/or foot,76784,81808003,Hemarthrosis
23304,Neck webbing,132446,199879009,Congenital anomaly of skin
73338,Sprain of lateral collateral ligament of knee,40479766,444468005,Injury of lateral collateral ligament of knee
73819,Pain of breast,4126244,290078008,Finding of sensation of breast
73343,Closed posterior dislocation of hip,4306084,157265008,Dislocation of hip joint
25068,Branchial cleft sinus and fistula,439377,204268008,Fistula of branchial cleft
24973,Chronic peptic ulcer without hemorrhage AND without perforation but with obstruction,4204555,5492000,Chronic peptic ulcer without hemorrhage AND without perforation
24973,Chronic peptic ulcer without hemorrhage AND without perforation but with obstruction,4024849,196694009,Chronic peptic ulcer with obstruction
72521,Immersion foot,444130,125604000,Injury of foot
73019,Breast engorgement in newborn,4042220,22925008,Neonatal disorder
72726,Light-for-dates with signs of fetal malnutrition,75639,276608005,Poor fetal nutrition
72985,Arthropathy of the ankle and/or foot associated with helminthiasis,4094283,250131003,Lower limb joint arthritis
73372,Burn of breast,4128492,290073004,Lesion of breast
73555,Transient arthropathy of the pelvic region and thigh,81930,66191007,Transient arthropathy
72400,Arthropathy of the pelvic region and thigh associated with helminthiasis,76193,111215006,Arthropathy associated with helminthiasis
73231,Arthralgia of temporomandibular joint,74396,41888000,Temporomandibular joint disorder
25844,Ulcer of esophagus,4027663,13200003,Peptic ulcer
24230,Foreign body in larynx,31602,60600009,Disorder of the larynx
74127,Contracture of elbow joint,4186162,298747001,Deformity of upper limb
26286,Burn of neck,4185207,298397000,Lesion of neck
73300,Radial styloid tenosynovitis,4195698,67801009,Tenosynovitis
24818,Injury of neck,619741,897601009,Injury of head and/or neck
23325,Heartburn,4264107,36349006,Burning pain
72562,Gonococcal spondylitis,37116425,733131001,Infection of musculoskeletal system caused by Neisseria gonorrhoeae
25698,Complication of transplanted pancreas,42537741,737294004,Transplant present
26361,Primary malignant neoplasm of pineal gland,380661,93749002,Primary malignant neoplasm of cerebrum
27835,Neoplasm of uncertain behavior of pituitary gland,4315941,94789003,Neoplasm of uncertain behavior of cerebrum
25572,Disorder of salivary gland,4106676,283015002,Disorder of salivary structure
73553,Arthropathy,77960,118952005,Joint finding
22350,Edema of larynx,31602,60600009,Disorder of the larynx
23304,Neck webbing,25056,40052002,Congenital anomaly of neck
74125,Inflammatory polyarthropathy,4291025,3723001,Arthritis
73361,Abrasion and/or friction burn of elbow with infection,4106352,283032003,Superficial injury of elbow
28127,"Multiple endocrine neoplasia, type 1",37204336,782964007,Genetic disease
24969,Laryngitis,4181063,363169009,Inflammation of specific body organs
26069,Postablative testicular hypofunction,36717157,721289001,Testicular hypofunction following procedure
73571,Pathological fracture,75053,125605004,Fracture of bone
26441,Bleeding ulcer of esophagus,23245,15238002,Esophageal bleeding
762000,Benign hypertensive heart disease and chronic renal disease stage 2,44784621,8501000119104,Hypertensive heart and chronic kidney disease
24612,"Multiple endocrine neoplasia, type 2",44782478,699346009,Hereditary cancer-predisposing syndrome
30515,Congenital stenosis of esophagus,23868,69771008,Congenital anomaly of esophagus
73614,Closed fracture of seven ribs,78273,12204004,Closed fracture of multiple ribs
73888,Open fracture of navicular bone of foot,4180748,428258002,Open fracture of tarsal bone
30679,Benign neoplasm of major salivary gland,4113120,255154009,Benign tumor of salivary gland
23567,Branchial cleft cyst,4178668,362998000,Branchial cleft anomaly
30683,Hemoglobin SS disease without crisis,4166115,416290001,Hemoglobin S sickling disorder without crisis
27918,Eosinophilic esophagitis,4249567,409657002,Chronic esophagitis
72413,Nontraumatic rupture of muscle,4137356,262966007,Rupture of muscle
73673,Disorder of prosthetic joint,73553,399269003,Arthropathy
31317,Dysphagia,4198525,50410009,Disorder of upper digestive tract
28779,Bleeding esophageal varices,4124866,234076002,Venous hemorrhage
26361,Primary malignant neoplasm of pineal gland,133420,371983001,Primary malignant neoplasm of endocrine gland
4113790,"Cellulitis of leg, excluding foot",42709838,449710006,Cellulitis of lower limb
22955,Perforation of esophagus,4113545,300286002,Lesion of esophagus
26908,Vincent's angina,4247910,72430001,Gangrenous pharyngitis
72487,Crushing injury of foot,194229,39595001,Crushing injury of lower limb
73854,Progressive myositis ossificans,4094389,26155004,"Ectopic bone tissue, congenital"
73609,Open fracture of clavicle,4050089,210410008,Open wound of front wall of thorax
73884,Closed fracture of three ribs,4239149,57577003,Fracture of three ribs
73041,Closed fracture of five ribs,4288590,68650003,Fracture of five ribs
22340,Esophageal varices without bleeding,24966,28670008,Esophageal varices
73754,Restless legs,35626941,84991000119105,Sleep related movement disorder
72418,Scoliosis deformity of spine,73302,64217002,Curvature of spine
72576,Benign neoplasm of breast,4113104,255059002,Benign neoplasm of thorax
25780,Pituitary dwarfism,37016351,368331000119100,Short stature co-occurrent and due to endocrine disorder
73557,Allergic arthritis of the pelvic region and thigh,72992,16935003,Allergic arthritis
72460,Open fracture of seven ribs,78574,28081005,Open fracture of multiple ribs
23137,Chlamydial pharyngitis,4193874,312129004,Bacterial infection of the digestive tract
29735,Candidiasis of mouth,4176944,363166002,Infective disorder of head
24969,Laryngitis,31602,60600009,Disorder of the larynx
72708,Traumatic arthropathy of the shoulder region,4162433,373574007,Traumatic arthropathy of upper extremity
31057,Disorder of pharynx,4297887,76712006,Disorder of digestive organ
24296,Primary malignant neoplasm of pituitary gland,4177235,363482009,Malignant tumor of pituitary gland
73001,Myositis,72618,75047002,Disorder of skeletal muscle
73373,Epidermal burn of upper limb,4296204,403190006,Epidermal burn of skin
72712,Synovial cyst,4344497,239953001,Soft tissue lesion
26069,Postablative testicular hypofunction,4098451,190553000,Postsurgical testicular hypofunction
73550,Crystal arthropathy of elbow,4083695,239866002,Osteoarthritis of elbow
24978,Chronic adenotonsillitis,23220,90979004,Chronic tonsillitis
26719,Chronic laryngotracheitis,4112534,195810009,Chronic laryngitis and laryngotracheitis
29056,Sialoadenitis,4181187,363176004,Inflammatory disorder of head
25486,Primary malignant neoplasm of islets of Langerhans,199754,372003004,Primary malignant neoplasm of pancreas
31598,Hypertrophy of tonsils AND adenoids,438788,111591002,Hypertrophy of adenoids
25582,Tracheoesophageal fistula,4340670,235639009,Internal esophageal fistula
72332,Serous labyrinthitis,74052,23919004,Labyrinthitis
28356,Overlapping malignant neoplasm of major salivary gland,439685,187824009,Malignant neoplasm of overlapping sites of digestive system
72745,Open dislocation of elbow,4053600,125650002,Open wound of elbow
27835,Neoplasm of uncertain behavior of pituitary gland,4130061,127024001,Neoplasm of pituitary gland
72708,Traumatic arthropathy of the shoulder region,40484571,444003007,Disorder of joint of shoulder region
73042,Open fracture finger middle phalanx,4174010,297131007,Fracture of middle phalanx of finger
73609,Open fracture of clavicle,4167912,275337006,Shoulder fracture - open
73913,Burn of shoulder,73925,6055000,Burn of upper limb
28060,Streptococcal sore throat,4193874,312129004,Bacterial infection of the digestive tract
73287,Crystal arthropathy of ankle AND/OR foot,4219481,82300000,Degenerative joint disease of ankle AND/OR foot
73090,Contusion of foot,444130,125604000,Injury of foot
73289,Pathological dislocation of multiple joints,77356,80406003,Pathological dislocation of joint
23865,Congenital anomaly of pharynx,4215370,4160001,Congenital anomaly of upper respiratory system
22288,Hereditary elliptocytosis,4175331,42601008,Congenital hemolytic anemia
74125,Inflammatory polyarthropathy,75897,36186002,Polyarthropathy
73872,Congenital deformity of knee joint,4316226,95463009,Congenital anomaly of joint
31335,Acute peptic ulcer with hemorrhage but without obstruction,4046500,12274003,Acute peptic ulcer with hemorrhage
28083,Primary malignant neoplasm of pharynx,4177243,363507003,Malignant tumor of pharynx
27438,Burn of esophagus,4113545,300286002,Lesion of esophagus
26935,Disorder of endocrine testis,4276801,64910008,Disorder of testis
73026,Abnormal breath sounds,4278456,366135003,Breath sounds - finding
73307,Transverse deficiency of lower limb,201956,84773003,Congenital anomaly of lower limb
23653,Foreign body in esophagus,201728,33334006,Foreign body in digestive tract
28083,Primary malignant neoplasm of pharynx,252840,94118008,Primary malignant neoplasm of upper respiratory tract
73019,Breast engorgement in newborn,77030,79604008,Disorder of breast
25757,Primary malignant neoplasm of aortic body,4130063,127029006,Neoplasm of aortic body
73842,Enthesopathy of elbow region,42537682,737214003,Enthesopathy of upper limb
24897,Carcinoma in situ of larynx,4055265,126692004,Neoplasm of larynx
22492,Foreign body in pharynx,201728,33334006,Foreign body in digestive tract
31884,Acquired diverticulum of esophagus,4187895,414133009,Esophageal diverticulum
26823,Oral phase dysphagia,4022570,116337000,Oral cavity finding
74127,Contracture of elbow joint,73290,7890003,Contracture of joint
30441,Sialolithiasis,4196732,313413008,Calculus finding
30061,Neoplasm of uncertain behavior of major salivary gland,4054610,126787005,Neoplasm of major salivary gland
30969,Testicular hyperfunction,4113644,286917001,Hypergonadism
73313,Longitudinal deficiency of tarsal bone,4113577,253946005,Congenital undergrowth of partial lower limb
31601,Acute laryngotracheitis with obstruction,31597,64375000,Acute laryngotracheitis
73122,Tuberculosis of knee,4098475,190710003,Tuberculous arthritis
73334,Closed posterior dislocation of elbow,4221189,417558002,Dislocation of elbow joint
31610,Disorder of esophagus,4101212,300284004,Finding of esophagus
22665,Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction,4134593,128284006,Chronic digestive system disorder
73338,Sprain of lateral collateral ligament of knee,4207505,54888009,Sprain of knee
74120,Arthropathy of the shoulder region associated with helminthiasis,4057588,1679003,Arthritis associated with another disorder
29735,Candidiasis of mouth,4042502,118938008,Disease of mouth
72985,Arthropathy of the ankle and/or foot associated with helminthiasis,76193,111215006,Arthropathy associated with helminthiasis
23325,Heartburn,4009391,102619001,Pain in esophagus
23798,Acute laryngopharyngitis,25297,363746003,Acute pharyngitis
26942,Hemoglobin SS disease with crisis,22281,127040003,Sickle cell-hemoglobin SS disease
74052,Labyrinthitis,4183452,43275000,Otitis
73845,Joint ankylosis of the shoulder region,4199576,302154007,Ankylosis of upper limb joint
30442,Chronic peptic ulcer with perforation AND obstruction,4174823,48336009,Peptic ulcer with perforation AND obstruction
28248,Cervical auricle,23567,59857007,Branchial cleft cyst
72566,"Primary malignant neoplasm of pelvic bones, sacrum and coccyx",198988,93953009,Primary malignant neoplasm of pelvis
26060,Benign neoplasm of tonsil,4130836,127227003,Neoplasm of tonsil
23304,Neck webbing,4185207,298397000,Lesion of neck
28462,Fistula of salivary gland,4114483,300257000,Lesion of salivary gland
22557,Malignant tumor of submandibular gland,4181333,363378008,Malignant tumor of major salivary gland
73335,Closed posterior dislocation of proximal end of tibia,1245129,1296833008,Displacement of bone
27026,Acute peptic ulcer with hemorrhage AND with perforation but without obstruction,4297887,76712006,Disorder of digestive organ
28109,Carcinoma in situ of esophagus,4130990,126817006,Neoplasm of esophagus
72562,Gonococcal spondylitis,4223530,84172003,Spondylitis
74124,Traumatic arthropathy,4054054,125610000,Joint injury
72726,Light-for-dates with signs of fetal malnutrition,4145947,267258002,Small for gestational age fetus
26718,Acute peptic ulcer with perforation AND obstruction,4024846,196687006,Acute peptic ulcer with obstruction
73366,Crushing injury of lower leg,194229,39595001,Crushing injury of lower limb
72618,Disorder of skeletal muscle,4244662,928000,Disorder of musculoskeletal system
73291,Palindromic rheumatism of ankle and/or foot,4094283,250131003,Lower limb joint arthritis
23868,Congenital anomaly of esophagus,4134606,128332003,Congenital anomaly of digestive organ
23865,Congenital anomaly of pharynx,4134606,128332003,Congenital anomaly of digestive organ
72406,Old disruption of ligament of knee other than collateral AND/OR cruciate ligaments,4032488,14949009,Old disruption of ligament of knee
73723,Benign neoplasm of epididymis,200670,92207002,Benign neoplasm of male genital organ
73686,Tuberculosis of genitourinary system,4029363,128561003,Granulomatous disorder
73072,Crushing injury of upper arm,78609,9560007,Crushing injury of upper limb
24660,Acute tonsillitis,4234533,90176007,Tonsillitis
73686,Tuberculosis of genitourinary system,4193167,312123003,Bacterial urogenital infection
72410,Infection of bone,4193176,312154004,Musculoskeletal infective disorder
30274,Full thickness burn of neck,4028056,128044005,Disorder of skin AND/OR subcutaneous tissue of neck
73036,Closed fracture of olecranon process of ulna,4083488,281528007,Fracture of olecranon
30356,Benign neoplasm of pharynx,4131451,126685009,Neoplasm of pharynx
73045,Sprain of hand,81937,201935006,Traumatic arthropathy of the hand
23237,Acute peptic ulcer with hemorrhage AND obstruction,4046500,12274003,Acute peptic ulcer with hemorrhage
72468,Open dislocation of jaw,4159964,373410009,Open traumatic dislocation of joint
73089,Contusion of buttock,4174096,42479003,Injury of buttock
22426,Congenital macrostomia,133303,128334002,Congenital anomaly of mouth
72403,Hemarthrosis of the ankle and/or foot,40482662,442246002,Disorder of joint of ankle and/or foot
73866,Congenital anomaly of breast,77030,79604008,Disorder of breast
25780,Pituitary dwarfism,23164,51742006,Disorder of anterior pituitary
24660,Acute tonsillitis,25297,363746003,Acute pharyngitis
30346,Primary malignant neoplasm of neck,4178979,363489000,Malignant tumor of neck
73819,Pain of breast,77670,29857009,Chest pain
73045,Sprain of hand,4018956,209436000,Sprain of wrist and/or hand
72817,Tuberculosis of urinary organs,197331,41368006,Disorder of urinary tract
28396,Hereditary hemolytic anemia,4214409,414394009,Hereditary red blood cell disorder
24397,"Chronic peptic ulcer with hemorrhage, with perforation AND with obstruction",30442,57871005,Chronic peptic ulcer with perforation AND obstruction
72245,Chlamydial infection of lower genitourinary tract,79732,312099009,Genitourinary chlamydia infection
72995,Contracture of joint of hand,73290,7890003,Contracture of joint
30441,Sialolithiasis,4114483,300257000,Lesion of salivary gland
73841,Multiple stiff joints,72404,84445001,Joint stiffness
72465,Closed fracture of one or more phalanges of hand,45772685,704005005,Closed fracture of hand
72486,Blister of elbow without infection,4271029,400160003,Disorder of skin of upper limb
73373,Epidermal burn of upper limb,4167229,274190009,Superficial injury of upper limb
22666,Vomiting after gastrointestinal tract surgery,4216862,72245005,Postoperative vomiting
26899,Tuberculous laryngitis,4207185,312118003,Bacterial upper respiratory infection
26727,Hematemesis,4291649,37372002,Upper gastrointestinal bleeding
73021,Bilateral congenital dislocation of hip,35608132,767002009,Congenital dislocation of left hip
73341,Closed fracture of head of radius,45773541,704208000,Closed fracture of proximal epiphysis of radius
72459,Closed fracture of two ribs,78273,12204004,Closed fracture of multiple ribs
22426,Congenital macrostomia,35624868,767811005,Lesion of face
72988,Pyogenic arthritis of hand,4177365,428385007,Infective arthritis of joint of hand
73336,Closed traumatic dislocation ankle joint,79113,125622002,Traumatic dislocation of ankle joint
26711,Chronic pharyngitis,444208,128294001,Chronic inflammatory disorder
30124,Obstruction of larynx,31602,60600009,Disorder of the larynx
31057,Disorder of pharynx,4198525,50410009,Disorder of upper digestive tract
28461,Hypertrophy of salivary gland,25572,10890000,Disorder of salivary gland
27026,Acute peptic ulcer with hemorrhage AND with perforation but without obstruction,4006994,111353003,Acute peptic ulcer with hemorrhage and perforation
23868,Congenital anomaly of esophagus,4169977,275262008,Congenital malformation of upper alimentary tract
73383,Full thickness burn of foot,198645,55473001,Full thickness burn of lower limb
73090,Contusion of foot,199978,91603007,Contusion of lower limb
27835,Neoplasm of uncertain behavior of pituitary gland,132277,269496008,Neoplasm of uncertain behavior of endocrine glands and nervous system
73001,Myositis,4181063,363169009,Inflammation of specific body organs
30284,Motion sickness,31967,422587007,Nausea
24076,Chronic peptic ulcer with hemorrhage AND obstruction,4024849,196694009,Chronic peptic ulcer with obstruction
30333,Gonorrhea of pharynx,31057,75860007,Disorder of pharynx
30442,Chronic peptic ulcer with perforation AND obstruction,4146517,3483000,Chronic peptic ulcer with perforation
73847,Finding of elbow joint,444221,116309007,Finding of elbow region
23567,Branchial cleft cyst,4209224,441457006,Cyst
28396,Hereditary hemolytic anemia,435503,61261009,Hemolytic anemia
24602,Benign neoplasm of esophagus,193431,255167007,Benign tumor of digestive organ
27826,Combination of endocrine dysfunction,4131812,26572003,Polyglandular dysfunction AND/OR related disorders
