source_concept_id,source_term,target_concept_id,target_concept_name,predicate,target_concept_id_b,target_concept_name_b,predicate_b,cleaned_term,mapped_concept_id,mapped_concept_name
8690,"Unspecified enthesopathy, lower limb, excluding foot",4116324,Enthesopathy of lower leg and ankle region,exactMatch,4116324.0,Enthesopathy of lower leg and ankle region,broadMatch,"enthesopathy, lower limb, excluding foot",-1,
9724,"Lead-induced chronic gout, unspecified elbow",607432,Chronic gout caused by lead,broadMatch,,,,"Lead-induced chronic gout, elbow",-1,
9770,"Chronic gout due to renal impairment, right elbow",46270464,Gout of elbow due to renal impairment,broadMatch,,,,"Chronic gout due to renal impairment, right elbow",-1,
9946,"Pathological fracture, left ankle",760649,Pathological fracture of left ankle,exactMatch,,,,"Pathological fracture, left ankle",-1,
10389,Unspecified fracture of skull,4324690,Fracture of skull,exactMatch,,,,fracture of skull,4324690,Fracture of skull
10443,"Ocular laceration without prolapse or loss of intraocular tissue, unspecified eye",372479,Laceration of eye,exactMatch,,,,"Ocular laceration without prolapse or loss of intraocular tissue, eye",-1,
10446,"Penetrating wound of orbit with or without foreign body, unspecified eye",4334734,Penetrating wound of orbit,exactMatch,,,,Penetrating wound of orbit,4334734,Penetrating wound of orbit
12399,"Fracture of unspecified shoulder girdle, part unspecified",37168846,Fracture of bone of shoulder girdle,exactMatch,,,,Fracture of shoulder girdle,-1,
20735,Drowning and submersion due to falling or jumping from unspecified burning watercraft,4068331,Submersion and drowning due to falling from burning ship,broadMatch,4068331.0,Submersion and drowning due to falling from burning ship,exactMatch,Drowning and submersion,-1,
725278,"Alcohol use, unspecified with withdrawal delirium",377830,Alcohol withdrawal delirium,exactMatch,,,,Alcohol use with withdrawal delirium,-1,
725283,"Sedative, hypnotic or anxiolytic abuse with withdrawal",4184438,"Sedative, hypnotic AND/OR anxiolytic intoxication delirium",broadMatch,,,,"Sedative, hypnotic or anxiolytic abuse with withdrawal",-1,
725289,"Cocaine use, unspecified with withdrawal",4216493,Cocaine withdrawal,exactMatch,,,,Cocaine use with withdrawal,-1,
785947,Other retinal disorders in diseases classified elsewhere,378416,Retinal disorder,exactMatch,,,,retinal disorders,378416,Retinal disorder
785995,Other forms of angina pectoris,321318,Angina pectoris,exactMatch,,,,angina pectoris,38001139,Angina pectoris
785998,Other forms of acute ischemic heart disease,319844,Acute ischemic heart disease,exactMatch,,,,acute ischemic heart disease,319844,Acute ischemic heart disease
