concept_id_1,concept_name_1,relationship_id,concept_code_2,concept_name_2
73553,Arthropathy,Subsumes,240230000,Acquired fixed flexion deformity of elbow
24970,Chronic laryngitis,Is a,133171000119105,Chronic pharyngolaryngitis
23237,Acute peptic ulcer with hemorrhage AND obstruction,Is a,28945005,"Acute peptic ulcer with hemorrhage, with perforation AND with obstruction"
23237,Acute peptic ulcer with hemorrhage AND obstruction,Is a,57871005,Chronic peptic ulcer with perforation AND obstruction
27835,Neoplasm of uncertain behavior of pituitary gland,Subsumes,608817003,Pituicytoma
46270436,Sinus node dysfunction,Is a,269859006,Blood urate above reference range
46270436,Sinus node dysfunction,Is a,25616007,Acute arthropathy
46270436,Sinus node dysfunction,Is a,239866002,Osteoarthritis of elbow
46270436,Sinus node dysfunction,Is a,67198005,Paroxysmal supraventricular tachycardia
46270436,Sinus node dysfunction,Is a,128599005,Structural disorder of heart
46270436,Sinus node dysfunction,Is a,298149009,Lesion of joint
46270436,Sinus node dysfunction,Is a,43829003,Chronic osteoarthritis
46270436,Sinus node dysfunction,Is a,128238001,Chronic heart disease
46270436,Sinus node dysfunction,Is a,110282008,Drug-induced lesion
72715,Exostosis,Subsumes,16028231000119104,Exostosis of right foot
72986,Disorder of lower leg,Subsumes,16035671000119108,Osteolysis of left tibia
73019,Breast engorgement in newborn,Is a,86196005,Disorder of breast associated with childbirth
73019,Breast engorgement in newborn,Is a,116339002,Breast finding
73019,Breast engorgement in newborn,Is a,72552008,Feeding problems in newborn
24818,Injury of neck,Is a,450724008,Injury of cervical region of back
73302,Curvature of spine,Subsumes,414564002,Kyphosis deformity of spine
73553,Arthropathy,Subsumes,1237305006,Arthrofibrosis of joint of elbow
72708,Traumatic arthropathy of the shoulder region,Subsumes,125615005,Traumatic dislocation of shoulder region
25844,Ulcer of esophagus,Is a,30811009,Ulcer of esophagus
25844,Ulcer of esophagus,Is a,109813002,Drug-induced peptic ulcer
72989,"Arthropathy associated with mycoses, of the ankle and/or foot",Subsumes,201552002,Arthropathy of the ankle and/or foot associated with helminthiasis
73553,Arthropathy,Subsumes,202578009,Synovial osteochondromatosis of elbow
29783,Severe combined immunodeficiency disease,Subsumes,724361001,Hepatic veno-occlusive disease with immunodeficiency syndrome
73302,Curvature of spine,Subsumes,12903001,Acquired curvature of spine
73925,Burn of upper limb,Is a,239953001,Soft tissue lesion
73925,Burn of upper limb,Is a,282026002,Soft tissue injury
73925,Burn of upper limb,Is a,11776211000119107,Injury of right forearm
