concept_id_1,concept_name_1,predicted_concept_id_2,predicted_concept_name_2,predicted_concept_code_2,attribute_category
28462,Fistula of salivary gland,4043006,Fistula,118622000,Has asso morph
28462,Fistula of salivary gland,4294042,Salivary gland structure,385294005,Has finding site
28461,Hypertrophy of salivary gland,4210465,Hypertrophy,56246009,Has asso morph
28461,Hypertrophy of salivary gland,4294042,Salivary gland structure,385294005,Has finding site
28714,Syndrome of diencephalo-hypophyseal origin,4227118,Structure of diencephalon,87563008,Has finding site
28714,Syndrome of diencephalo-hypophyseal origin,4209428,Pituitary structure,56329008,Has finding site
28457,Hypertrophy of tonsils,4210465,Hypertrophy,56246009,Has asso morph
28457,Hypertrophy of tonsils,4327174,Palatine tonsillar structure,75573002,Has finding site
28403,Gigantism and acromegaly,4200975,Structure of distal part of pituitary,52618001,Has finding site
28403,Gigantism and acromegaly,4146194,Hormone production,35188005,Has interprets
28403,Gigantism and acromegaly,4146067,Increased,35105006,Has interpretation
28403,Gigantism and acromegaly,4154781,Height / growth measure,271603002,Has interprets
28403,Gigantism and acromegaly,4146067,Increased,35105006,Has interpretation
28403,Gigantism and acromegaly,4204670,Pathological developmental process,308490002,Has pathology
28356,Overlapping malignant neoplasm of major salivary gland,37153816,Malignant neoplasm,1240414004,Has asso morph
28356,Overlapping malignant neoplasm of major salivary gland,4312326,"Neoplasm, malignant (primary)",86049000,Has asso morph
28356,Overlapping malignant neoplasm of major salivary gland,4002730,Major salivary gland structure,119282003,Has finding site
28716,Benign neoplasm of aortic body,4305589,"Neoplasm, benign",3898006,Has asso morph
28716,Benign neoplasm of aortic body,4327482,Aortic body,75061007,Has finding site
28060,Streptococcal sore throat,4163835,Acute inflammation,4532008,Has asso morph
28060,Streptococcal sore throat,4207370,Pharyngeal structure,54066008,Has finding site
28060,Streptococcal sore throat,4240344,Streptococcus,58800005,Has causative agent
28060,Streptococcal sore throat,40480911,Infectious process,441862004,Has pathology
29056,Sialoadenitis,4053015,Inflammation,23583003,Has asso morph
29056,Sialoadenitis,4253008,Inflammatory morphology,409774005,Has asso morph
29056,Sialoadenitis,4294042,Salivary gland structure,385294005,Has finding site
28396,Hereditary hemolytic anemia,4218976,Erythrocyte,,Has finding site
28396,Hereditary hemolytic anemia,4224294,Hemolysis,404227002,Has interprets
28396,Hereditary hemolytic anemia,4181412,Present,52101004,Has interpretation
28396,Hereditary hemolytic anemia,4030871,Red blood cell count,14089001,Has interprets
28396,Hereditary hemolytic anemia,4083207,Below reference range,281300000,Has interpretation
28396,Hereditary hemolytic anemia,4116830,Congenital,255399007,Has occurrence
28396,Hereditary hemolytic anemia,4204670,Pathological developmental process,,Has pathology
30061,Neoplasm of uncertain behavior of major salivary gland,4313421,Neoplasm of uncertain behavior,86251006,Has asso morph
30061,Neoplasm of uncertain behavior of major salivary gland,4002730,Major salivary gland structure,119282003,Has finding site
29979,Crushing injury of neck,4060415,Crushing injury (morphology),19921004,Has asso morph
29979,Crushing injury of neck,4260843,Neck structure,45048000,Has finding site
28974,Candidiasis of the esophagus,4053015,Inflammation,23583003,Has asso morph
28974,Candidiasis of the esophagus,4253008,Inflammatory morphology,409774005,Has asso morph
28974,Candidiasis of the esophagus,4140098,Esophageal structure,32849002,Has finding site
28974,Candidiasis of the esophagus,4139129,Candida,3265006,Has causative agent
28974,Candidiasis of the esophagus,40480911,Infectious process,441862004,Has pathology
30124,Obstruction of larynx,4093906,Obstruction,26036001,Has asso morph
30124,Obstruction of larynx,4262229,Laryngeal structure,4596009,Has finding site
28779,Bleeding esophageal varices,4029830,Varix,12856003,Has asso morph
28779,Bleeding esophageal varices,4179955,Hemorrhage,50960005,Has asso morph
28779,Bleeding esophageal varices,4237655,Structure of esophageal vein,90895003,Has finding site
29735,Candidiasis of mouth,44782621,Structure of internal part of mouth,700016008,Has finding site
29735,Candidiasis of mouth,4139129,Candida,3265006,Has causative agent
29735,Candidiasis of mouth,40480911,Infectious process,441862004,Has pathology
30163,Cellulitis and abscess of neck,4195605,Abscess morphology,44132006,Has asso morph
