cleaned_term,source_code,source_term,mapped_concept_id,mapped_concept_name,mapped_rationale
"enthesopathy, lower limb, excluding foot",8690,"Unspecified enthesopathy, lower limb, excluding foot",-1,no_match,"No candidate concept specifies enthesopathy of the lower limb while explicitly excluding the foot. Concepts such as 'Enthesopathy of lower limb' (4194889) include the foot and are therefore broader than the source term, while others focus on specific sub-regions (e.g., knee, ankle) and are narrower. Consequently, there is no exact clinical equivalent among the provided targets."
"Lead-induced chronic gout, elbow",9724,"Lead-induced chronic gout, unspecified elbow",-1,no_match,"The source term specifies four key attributes: (1) gout, (2) chronic course, (3) etiology secondary to lead exposure, and (4) localization to the elbow joint. No candidate concept simultaneously contains all of these attributes. Concepts such as “Chronic gout caused by lead” or “Monoarticular chronic gout caused by lead” lack the elbow specification, while elbow-specific gout concepts attribute the disease to other causes (drug, renal impairment, primary) or do not indicate lead involvement. Therefore an exact clinical equivalent is not present among the provided targets."
"chronic gout due to renal impairment, right elbow",9770,"Chronic gout due to renal impairment, right elbow",-1,no_match,"No candidate preserves all required details. The source specifies: (1) chronic course, (2) gout secondary to renal impairment, (3) localization to the elbow, and (4) right laterality, with no statement about presence or absence of tophus. 
 - 46270464 lacks chronicity and laterality.
 - 46270418 and 46270419 include chronicity and renal etiology but add/omit tophus detail and omit right laterality (over- or under-specification).
 - 42539209 includes chronicity and right elbow but lacks the “due to renal impairment” etiology and adds tophaceous detail.
No candidate simultaneously matches chronic gout, due to renal impairment, and right elbow without adding or omitting clinical specifics. Therefore, no exact standard concept match exists."
"Pathological fracture, left ankle",9946,"Pathological fracture, left ankle",760649,Pathological fracture of left ankle,"Concept 760649 (""Pathological fracture of left ankle"") exactly matches all critical clinical details of the source term: it represents a pathological fracture, specifies the anatomical site as the ankle, and includes the left laterality. No additional specificity is introduced and no information from the source term is lost. All other candidates are either more general (lack laterality), refer to different sites, or add extra etiologic details (e.g., due to osteoporosis), so they are not exact equivalents."
"Ocular laceration without prolapse or loss of intraocular tissue, eye",10443,"Ocular laceration without prolapse or loss of intraocular tissue, unspecified eye",-1,no_match,"The source term specifies an ocular (globe) laceration expressly WITHOUT prolapse or loss of intraocular tissue. None of the candidate target concepts carry this negative qualifier. The closest generic concept 'Laceration of eye' (372479) is broader because it includes all ocular lacerations, including those with prolapse or loss, and therefore fails the required specificity rule. All other candidates either describe ruptures, include prolapse/loss, involve different ocular structures (eyelid, conjunctiva), represent procedures, or sequelae. Hence, there is no exact clinical equivalent among the provided targets."
"Penetrating wound of orbit, eye",10446,"Penetrating wound of orbit with or without foreign body, unspecified eye",4334734,Penetrating wound of orbit,"The source term specifies a penetrating wound involving the orbital region of the eye. Concept 4334734 (""Penetrating wound of orbit"") precisely represents an open/penetrating injury to the orbit, matching the anatomical location (orbit) and type of injury (penetrating wound) without adding or omitting clinical details. Other candidates are either too broad (e.g., penetrating wound of eye/eyeball) or add laterality or foreign-body detail not present in the source term. Therefore, concept 4334734 is the exact clinical equivalent."
Fracture of shoulder girdle,12399,"Fracture of unspecified shoulder girdle, part unspecified",37168846,Fracture of bone of shoulder girdle,"The source term denotes any fracture involving a bone of the shoulder girdle (clavicle or scapula) without specifying side, type, or additional detail. SNOMED concept 37168846 ""Fracture of bone of shoulder girdle"" exactly represents a fracture of a shoulder-girdle bone at the same level of specificity—no added or missing qualifiers—so it is an exact clinical equivalent. Other candidates are either broader (e.g., ""Fracture of shoulder"") or more specific (e.g., side-specific or particular bone), and therefore do not meet the criteria."
Drowning and submersion due to falling or jumping from burning watercraft,20735,Drowning and submersion due to falling or jumping from unspecified burning watercraft,-1,no_match,"The source term requires a single concept that explicitly covers BOTH mechanisms—falling OR jumping—from a burning watercraft. Available candidates are either broader (e.g., 'Accident to watercraft causing immersion') or narrower by specifying only one mechanism ('falling' OR 'jumping' from a burning ship). No candidate simultaneously includes both falling and jumping from a burning watercraft while preserving all clinical details. Therefore, no exact standard concept match exists."
Alcohol use with withdrawal delirium,725278,"Alcohol use, unspecified with withdrawal delirium",377830,Alcohol withdrawal delirium,"The source term describes delirium occurring in the setting of alcohol withdrawal. The SNOMED concept 377830 ""Alcohol withdrawal delirium"" (synonym: delirium tremens) precisely represents the same clinical condition—delirium that occurs during withdrawal from alcohol. It neither omits essential detail (still specific to alcohol withdrawal with delirium) nor adds extra specificity beyond what is stated. All other candidates are either broader (e.g., general alcohol withdrawal, substance-related delirium) or pertain to different phenomena (e.g., alcohol dependence, harmful use). Therefore, concept 377830 is an exact clinical match."
"Sedative, hypnotic or anxiolytic abuse with withdrawal",725283,"Sedative, hypnotic or anxiolytic abuse with withdrawal",-1,no_match,"The source term requires BOTH (a) abuse of sedative/hypnotic/anxiolytic agents and (b) the presence of a withdrawal state. None of the candidate concepts simultaneously cover these two elements. 
• 4193868 (Sedative, hypnotic AND/OR anxiolytic-related disorder) is too broad; it could refer to many conditions besides abuse with withdrawal.
• 43020446 (Sedative withdrawal) and 4192127 (Psychoactive substance withdrawal) capture withdrawal but say nothing about abuse.
• 442601 (Harmful pattern of use of sedative) captures abuse but not withdrawal.
• Other candidates (e.g., substance dependence, intoxication, delirium, perceptual disturbances) add or miss required details and therefore are not equivalent.
Because no candidate preserves both the abuse component and the withdrawal qualifier without adding or omitting clinical details, there is no exact match."
Cocaine use with withdrawal,725289,"Cocaine use, unspecified with withdrawal",4216493,Cocaine withdrawal,"The clinical focus of the source term is the state of cocaine withdrawal, which presumes prior cocaine use and current withdrawal symptoms. The SNOMED concept ""Cocaine withdrawal"" (ID 4216493) precisely represents this condition without adding or omitting clinically relevant details. Other candidates are either broader (e.g., general stimulant withdrawal), lack the withdrawal aspect (e.g., cocaine dependence/abuse), or add extra specifics (e.g., delirium). Therefore, 4216493 is the exact clinical equivalent."
"perpetrator of maltreatment and neglect, husband",786340,"Husband, current, perpetrator of maltreatment and neglect",-1,no_match,"None of the candidate concepts captures all required details. The source specifies: (1) role = perpetrator, (2) type of wrongdoing = maltreatment/neglect, and (3) relationship = husband. Every candidate is either too general (e.g., ‘Alleged perpetrator of abuse or violence’ lacks the husband qualifier and neglect component) or describes the victim rather than the perpetrator, or addresses only a specific form of abuse. Therefore no exact clinical equivalent is present."
"perpetrator of maltreatment and neglect, non-binary partner",786349,"Non-binary partner, current, perpetrator of maltreatment and neglect",-1,no_match,"The source term specifies a perpetrator of maltreatment/neglect who is the patient’s non-binary partner. None of the candidate SNOMED concepts encode both the perpetrator role AND the non-binary partner attribute with equivalent specificity. All available candidates are either more general (e.g., any aggressive behavior, any perpetrator of abuse, violent partner without gender specification) or describe victims rather than perpetrators. Therefore, no exact clinical equivalent is present among the provided concepts."
"Type 1 diabetes mellitus, presymptomatic, Stage 1",1102629,"Type 1 diabetes mellitus, presymptomatic, Stage 1",37174264,Diabetes mellitus type 1 stage 1,"The source term specifies type 1 diabetes mellitus that is presymptomatic and explicitly in Stage 1. SNOMED concept 37174264 ""Diabetes mellitus type 1 stage 1"" represents exactly the same clinical condition: Stage 1 of type 1 diabetes, which by definition is presymptomatic. It captures all required details (disease type and stage) without adding or omitting any information. Other candidates are either missing the stage detail (e.g., presymptomatic T1DM without stage) or represent different stages, so 37174264 is the single exact match."
