source_concept_id,source_term,map_method,target_concept_id,target_concept_name,predicate,target_concept_id_b,target_concept_name_b,predicate_b,cleaned_term,mapped_concept_id,mapped_concept_name,is_correct,mapped_rationale,overall_accuracy
10389,Unspecified fracture of skull,verbatim,4324690,Fracture of skull,exactMatch,,,,fracture of skull,4324690,Fracture of skull,True,,0.8608108108108108
10446,"Penetrating wound of orbit with or without foreign body, unspecified eye",verbatim,4334734,Penetrating wound of orbit,exactMatch,,,,Penetrating wound of orbit,4334734,Penetrating wound of orbit,True,,0.8608108108108108
785947,Other retinal disorders in diseases classified elsewhere,verbatim,378416,Retinal disorder,exactMatch,,,,retinal disorders,378416,Retinal disorder,True,,0.8608108108108108
785995,Other forms of angina pectoris,verbatim,321318,Angina pectoris,exactMatch,,,,angina pectoris,38001139,Angina pectoris,False,,0.8608108108108108
785998,Other forms of acute ischemic heart disease,verbatim,319844,Acute ischemic heart disease,exactMatch,,,,acute ischemic heart disease,319844,Acute ischemic heart disease,True,,0.8608108108108108
786005,Other specified chronic obstructive pulmonary disease,verbatim,255573,Chronic obstructive pulmonary disease,exactMatch,,,,chronic obstructive pulmonary disease,255573,Chronic obstructive pulmonary disease,True,,0.8608108108108108
786007,Other specified chronic obstructive pulmonary disease,verbatim,255573,Chronic obstructive pulmonary disease,exactMatch,,,,chronic obstructive pulmonary disease,255573,Chronic obstructive pulmonary disease,True,,0.8608108108108108
786099,Other congenital malformations of liver,verbatim,444421,Congenital anomaly of liver,exactMatch,,,,congenital malformations of liver,444421,Congenital anomaly of liver,True,,0.8608108108108108
1102626,Fanconi anemia,verbatim,4148471,Fanconi's anemia,exactMatch,,,,Fanconi anemia,4148471,Fanconi's anemia,True,,0.8608108108108108
1102635,"Carcinoid syndrome, unspecified",verbatim,199771,Carcinoid syndrome,exactMatch,,,,Carcinoid syndrome,199771,Carcinoid syndrome,True,,0.8608108108108108
1102637,Other carcinoid syndrome,verbatim,199771,Carcinoid syndrome,exactMatch,,,,carcinoid syndrome,199771,Carcinoid syndrome,True,,0.8608108108108108
1102642,Other obesity not elsewhere classified,verbatim,433736,Obesity,exactMatch,,,,obesity,433736,Obesity,True,,0.8608108108108108
1102680,Developmental and epileptic encephalopathy,verbatim,37168142,Developmental and epileptic encephalopathy,exactMatch,,,,Developmental and epileptic encephalopathy,37168142,Developmental and epileptic encephalopathy,True,,0.8608108108108108
1102696,"Anal fistula, unspecified",verbatim,37203984,Anal fistula,exactMatch,,,,Anal fistula,36768488,Anal fistula,False,,0.8608108108108108
1102730,"Lichen planopilaris, unspecified",verbatim,4276173,Lichen planopilaris,exactMatch,,,,Lichen planopilaris,4276173,Lichen planopilaris,True,,0.8608108108108108
1102732,Frontal fibrosing alopecia,verbatim,37399021,Frontal fibrosing alopecia,exactMatch,,,,Frontal fibrosing alopecia,37399021,Frontal fibrosing alopecia,True,,0.8608108108108108
1102745,"Unspecified synovitis and tenosynovitis, unspecified site",verbatim,74728,Synovitis and tenosynovitis,exactMatch,,,,synovitis and tenosynovitis,74728,Synovitis and tenosynovitis,True,,0.8608108108108108
1102776,Bicuspid aortic valve,verbatim,4218450,Bicuspid aortic valve,exactMatch,,,,Bicuspid aortic valve,4218450,Bicuspid aortic valve,True,,0.8608108108108108
1102780,Anosognosia,verbatim,4050254,Anosognosia,exactMatch,,,,Anosognosia,4050254,Anosognosia,True,,0.8608108108108108
1326600,Right heart failure,verbatim,4273632,Right ventricular failure,exactMatch,,,,Right heart failure,4273632,Right ventricular failure,True,,0.8608108108108108
1326717,"Unspecified lump in the left breast, unspecified quadrant",verbatim,760895,Mass of left breast,exactMatch,,,,lump in left breast,760895,Mass of left breast,True,,0.8608108108108108
1335082,Grey matter heterotopia,verbatim,4099082,Neuronal heterotopia,exactMatch,4145642.0,Ectopic gray matter,exactMatch,Grey matter heterotopia,40487944,Neuronal heterotopia,False,,0.8608108108108108
1335147,Shprintzen-Goldberg syndrome,verbatim,36717691,Shprintzen Goldberg craniosynostosis syndrome,exactMatch,,,,Shprintzen-Goldberg syndrome,36717691,Shprintzen Goldberg craniosynostosis syndrome,True,,0.8608108108108108
1402645,"Paraganglioma, NOS",verbatim,4120306,Paraganglioma,exactMatch,,,,Paraganglioma,4196794,Paraganglioma,False,,0.8608108108108108
1402983,Salmonella pneumonia (machine translation),verbatim,258333,Salmonella pneumonia,exactMatch,,,,Salmonella pneumonia (machine translation),258333,Salmonella pneumonia,True,,0.8608108108108108
1403958,Other and unspecified syphilis,verbatim,436033,Syphilis,exactMatch,,,,syphilis,436033,Syphilis,True,,0.8608108108108108
1405272,Unspecified intestinal parasitism,verbatim,196347,Intestinal parasitism,exactMatch,,,,intestinal parasitism,196347,Intestinal parasitism,True,,0.8608108108108108
1411230,"Bacterial meningitis, unspecified",verbatim,436091,Bacterial meningitis,exactMatch,,,,Bacterial meningitis,436091,Bacterial meningitis,True,,0.8608108108108108
1411284,Ventriculitis (machine translation),verbatim,43531591,Ventriculitis of the brain,exactMatch,,,,Ventriculitis (machine translation),42572744,Ventriculitis,False,,0.8608108108108108
1411837,Other cranial nerve disorders in other diseases classified elsewhere,verbatim,441848,Cranial nerve disorder,exactMatch,,,,cranial nerve disorders,441848,Cranial nerve disorder,True,,0.8608108108108108
