code,general_drug_name,drug_name
620002907,Vancomycin Hydrochloride,Vancomycin Hydrochloride for I.V.Infusion 0.5g (TX)
620188104,Timepidium Bromide Hydrate,Timepidium Bromide Tablets 30mg (TAIYO)
620001050,Ginseng,Ginseng M EIDAI
622168901,Nicorandil,Nicorandil Tablets 2.5mg (SAWAI)
621483703,Ciclosporin,Ciclosporin Capsules 50mg (PFIZER)
610408293,Bupleurum Root,TSUMURA Bupleurum Root
622202201,Glimepiride,Glimepiride Tablets 0.5mg (TANABE)
620008462,Imidapril Hydrochloride,Imidapril Hydrochloride Tablets 5mg (TOWA)
613320062,Carbazochrome Sodium Sulfonate Hydrate,Kaltazon Tablets 30 30mg
622914301,Febuxostat,Febuxostat Tablets 10mg (AFP)
611170667,Chlordiazepoxide,Chlordiazepoxide Powder 1%
622268101,Pitavastatin Calcium,Pitavastatin Calcium Tablets 2mg (ZE)
622765700,Iopamidol,Iopamidol (300)50mL Injection 61.24%
621835003,Imidapril Hydrochloride,Imidapril Hydrochloride Tablets 2.5mg (NIG)
622839201,Oxycodone Hydrochloride Hydrate,Oxycodone Oral Solution 5mg (NIPPON-ZOKI) 2.5mL
621733101,Fluticasone Propionate,Fluticasone Propionate Nasal Solution 50microg (NICHIIKO) 28sprays 2.04mg4mL
620814512,Ticlopidine Hydrochloride,Ticlopidine Hydrochloride Tablets 100mg (NP)
622325200,Risperidone,Risperidone 2mg Tablets
610406391,Voglibose,Basen Tablets 0.3 0.3mg
621975901,Epoprostenol Sodium,Epoprostenol for I.V.Injection 0.5mg (TAIYO)
622880601,Levetiracetam,Levetiracetam Tablets 500mg (KYORIN)
610408067,Cyperus Rhizome,UCHIDA Powdered Cyperus Rhizome M
610454028,Kallidinogenase,Clermon Tablets 50 50U
622493001,Olanzapine,Olanzapine Tablets 5mg (NISSIN)
622091801,Tamsulosin Hydrochloride,Tamsulosin Hydrochloride OD Tablets 0.2mg (AMEL)
620002537,Ibuprofen,Brufen Tablets 100 100mg
620005160,Minocycline Hydrochloride,Coupelacin for I.V.Infusion 100mg
620420101,Lactomin,Biolact Powder
622614200,Donepezil Hydrochloride,Donepezil Hydrochloride 3mg Tablets
640453185,Iohexol,Moiopaque 300 Injection Bag 64.71%100mL
640454039,Purified Human Menopausal Gonadotrophin,Folyrmon-P Injection 75 75U(w/Soln)
610408969,Gentian,TAKASAGO Powdered Gentian M
612320199,Sulpiride,Dogmatyl Fine Granules 10%
622245401,Sodium Risedronate Hydrate,Risedronate Na Tablets 17.5mg (NISSIN)
622584603,Olmesartan Medoxomil,Olmesartan OD Tablets 40mg (VTRS)
615101454,Shohangekabukuryoto Extract,TSUMURA Shohangekabukuryoto Extract Granules for Ethical Use
620142805,Haloperidol,Haloperidol Tablets 0.75mg (JG)
620006268,Glucose,TERUMO Glucose Injection 5% 250mL
640432017,Levofolinate Calcium,Isovorin Injection 25mg
660444049,Sodium Cromoglicate,Rhinojet Inhalation Solution 1%2mL
621997301,Sodium Rabeprazole,Rabeprazole Na Tablets 20mg (BMD)
621966501,Epirubicin Hydrochloride,Epirubicin Hydrochloride Injection 10mg/5mL (SANDOZ)
622893800,Aldioxa,Aldioxa 100mg Tablets
615101384,Jinsoin Extract,TAIKODO Jinsoin Extract Granules
646340299,Platelet Concentrate HLA,Platelet Concentrate HLA (NISSEKI) 10Uca.200mL
622022801,Fluvoxamine Maleate,Fluvoxamine Maleate Tablets 50mg (JG)
621641302,Malt Extract,Malt Extract Devided Pack(TAKATA)
667310009,Benzoin Tincture,Benzoin Tincture(KOZAKAI)
621955401,Gadodiamide Hydrate,Gadodiamide I.V.Injection 32% Syringe 15mL (HK) 32.3%
622810601,Dutasteride,Dutasteride Capsules 0.5mg AV (NIPRO)
